 actual_end_time, actual_start_time, auto19_createtime, auto19_submittime, autonodeid1_createtime, autonodeid1_submittime, create_time, end_time, last_update_time, ola_target_time, plan_end_time, plan_start_time, sla_suspend_resume_time, sla_target_time, tt10_createtime, tt10_submittime, tt11_createtime, tt11_submittime, tt12_createtime, tt12_submittime, operation_mode, status_option, verification_result, evidence_after, evidence_before, act_status, activity_executor, app_name, auto19_operator, autonodeid1_operator, business_status, cancel_reason, createpmaassignto, createsubsolutiontype, creator, current_operator, current_phase, current_phase_name, escalate, escalate_level, execution_status, exempt, exempt_reason, last_updater, module_name, ola_status, order_id, order_status, parent_app_name, parent_module_name, parent_order_id, parent_process_key, parent_process_name, parent_ticket_id, problem_ticket_id, process_key, process_name, process_type, pt_responsibility_party, role_project_name, root_cause, sla_paused, sla_pausing, sla_status, sla_suspend_duration, sla_suspend_reason, sla_suspend_status, sub_root_cause, text_input1, ticket_id, ticket_title, title, tt10_operator, tt11_operator, tt12_operator, evidence_photos, file_attachment, createpmanetworktype, createpmaproducttype, orderseq, activity_summary, description, noc_activity_notes, resolution_notes, text_input2, verification_notes, id, keycode, active, change_time, auto23_createtime, auto23_submittime, link_segment_detail, createoperation, auto23_operator, pt_site_name, createsolutiontype, pt_site_id, pt_site_region
 , , , , , , 2026-09-03 08:02:53, , 2026-09-03 08:02:53, , , , , , 2026-09-03 08:02:53, 2026-09-03 08:02:53, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:Telkom Akses MS;group:HW NOC FO, 76_Improvement RSL & Restore Core, user:mWX1543840, group:Telkom Akses MS;group:HW NOC FO, Auto23, Prepare New Schedule, No, , , No, , user:mWX1543840, ProblemManagementActivity, normal, PMA-20260903-00000001, running, , , , , , , PT-20260709-00000009, ProblemManagementActivity, PMA, BusinessProcess, Telkom Akses, , 3rd Party, NO, NO, normal, , , , Fiber - Outage, , 00001745277c1b0a2f-9550-81bc-d737-a3fb54d14c4c, [Link Degrade] P1 DWDM Nokia Cikampek - Terisi, Activity Fiber Improvement Cikampek <> Terisi, user:mWX1543840, , , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, , fiber improvement - on hold impact Cibatu - Tasik Down, , , , , , PMA-20260903-00000001, PMA-20260903-00000001, true,	 1788422573878, 2026-09-03 08:02:53, , CIKAMPEK <> TERISI / Pegaden Baru, , , Pegaden Baru, Fiber improvement, SNG_0006, West Java
 , , , , , , 2026-09-03 08:21:21, , 2026-09-03 08:21:21, , , , , , 2026-09-03 08:21:22, 2026-09-03 08:21:22, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:Mandau MS;group:HW NOC FO;group:HW NOC BO, 76_Improvement RSL & Restore Core, user:mWX1543840, group:Mandau MS;group:HW NOC FO;group:HW NOC BO, Auto23, Prepare New Schedule, No, , , No, , user:mWX1543840, ProblemManagementActivity, normal, PMA-20260903-00000002, running, , , , , , , PT-20260527-00000002, ProblemManagementActivity, PMA, BusinessProcess, Mandau, , 3rd Party, NO, NO, normal, , , , Fiber - Outage, , 0000173912ab120e3c-2029-9748-cbad-ca793a8cf239, [Link Degrade] DWDM NOKIA PEKALONGAN <> TEGAL, Activity Improvement HSL DWDM NOKIA PEKALONGAN <> TEGAL, user:mWX1543840, , , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, , Perbaikan Degraded PEKALONGAN <> TEGAL KM 33 akan di lakukan di jam MW00:01 WIB, , , , , , PMA-20260903-00000002, PMA-20260903-00000002, true,	 1788423683077, 2026-09-03 08:21:23, , PEKALONGAN <> TEGAL / Kampung_Bandan, , , Kampung_Bandan, Fiber improvement, JKU_0003, JABODETABEK
 , , , , , , 2026-09-07 04:12:29, , 2026-09-07 04:12:29, , , , , , 2026-09-07 04:12:29, 2026-09-07 04:12:29, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:Persada MS;user:3rd_persada_DanielElisy;group:HW NOC BO;group:HW NOC FO, 75_Replace MCB, user:jWX1520179, group:Persada MS;user:3rd_persada_DanielElisy;group:HW NOC BO;group:HW NOC FO, Auto23, Prepare New Schedule, No, , , No, , user:jWX1520179, ProblemManagementActivity, normal, PMA-20260907-00000001, running, , , , , , , PT-20260907-00000003, ProblemManagementActivity, PMA, BusinessProcess, Persada, , Power, NO, NO, normal, , , , MCB_KWH - Overload, , 00001925595e5865d3-0673-e4f2-2ede-f1d1c1b1ee35, [Replace] Persada MCB KWH Single OLT FTTH Site Pegaden Baru (SNG_0006), [Replace] PERSADA MCB KWH OLT FTTH Site Pegaden Baru (SNG_0006), user:jWX1520179, , , , , Transmission Network, 67cfc472-186c-11f1-8d5d-0255ac120223, , Issue :MCB KWH Single OLT FTTH Site Pegaden Baru (SNG_0006) Over load:Action need conduct by Persada :1. Intouch Coordination with NOC/BO when doing rectify/replacing MCB action2. Replace MCB KWH for Single OLT FTTH at Pegaden Baru (SNG_0006).3. Checking healthy MCB status after replacing action , , , , , , PMA-20260907-00000001, PMA-20260907-00000001, true,	 1788754349887, 2026-09-07 04:12:29, ," SNG_0006 Pegaden Baru (Latitude : -6.4537539,  Longitude : 107.817097)", , , Pegaden Baru, Power System improvement, SNG_0006, West Java
 , , , , , , 2026-09-07 07:31:13, , 2026-09-07 07:31:13, , , , , , 2026-09-07 07:31:13, 2026-09-07 07:31:13, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:HW NOC FO;group:Telkom Akses MS," 26_Improve RSL (Resplicing, Re OTDR)", user:mWX1543840, group:HW NOC FO;group:Telkom Akses MS, Auto23, Prepare New Schedule, No, , , No, , user:mWX1543840, ProblemManagementActivity, normal, PMA-20260907-00000002, running, , , , , , , PT-20260709-00000009, ProblemManagementActivity, PMA, BusinessProcess, Telkom Akses, , Transmission, NO, NO, normal, , , , Fiber Cut - Other, , 00001953557c793b45-cd3f-ab7b-da5c-bb4f8f15975f, [Link Degrade] P1 DWDM Nokia Cikampek - Terisi, Perbaikan Degraded Segment Cikampek <> Terisi, user:mWX1543840, , , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, , Perbaikan Degraded Segment Cikampek <> Terisi, , , , , , PMA-20260907-00000002, PMA-20260907-00000002, true,	 1788766273502, 2026-09-07 07:31:13, , Cikampek <> Terisi / SNG_0006, , , Pegaden Baru, Fiber improvement, SNG_0006, West Java
 2026-09-08 13:42:00, 2026-09-07 19:48:00, 2026-09-09 02:04:56, 2026-09-09 02:06:08, , , 2026-09-08 09:58:38, 2026-09-09 02:06:08, 2026-09-09 02:06:08, , 2026-09-09 02:03:30, 2026-09-09 02:03:30, , 2026-09-09 11:58:43, 2026-09-08 09:58:39, 2026-09-08 09:58:39, 2026-09-08 10:03:30, 2026-09-08 10:03:48, 2026-09-08 10:07:32, 2026-09-09 02:04:55, Accept, Resolved, Accept, eyJleHBpcmVUaW1lIjoxNzg5NTMxMjc1NjI1LCJ0ZW1wRmlsZURpciI6Ii90ZW1wL2FXWDE1Mzc3NDgvMjAyNi0wOS0xNi0wMy0wMS0xNS83NTVlYTU4MC0yYzkwLTQ1ZjctOGUzYS01NmEyMjEyNDQ4NzciLCJmaWxlRGlyIjoiL2FwcC1tb2RlbC9Qcm9ibGVtTWFuYWdlbWVudEFjdGl2aXR5L3BtYV9wcm9ibGVtbWFuYWdlbWVudGFjdGl2aXR5L2V2aWRlbmNlX2FmdGVyL1BNQS0yMDI2MDkwOC0wMDAwMDAwMSIsInN0YXRlIjoiRVhJU1RJTkciLCJmaWxlQ2hlY2tSdWxlIjp7Im1heEZpbGVDb3VudCI6NSwibWF4RmlsZVNpemUiOjUyNDI4ODAwMCwicGVybWlzc2lvbiI6IkNSVUQifSwidXNlcm5hbWUiOiJhV1gxNTM3NzQ4Iiwic2hhcmUiOmZhbHNlfUBAQDMwMzAzM2JlODllYTM4YjYzM2Y3ZDkwMTk2YmYyZjFiMDdlN2UwMDE5OTg0N2U1NDVjMTQ0MTU3MDE2ZTY0MmU4MDU0NGU=, eyJleHBpcmVUaW1lIjoxNzg5NTMxMjc1NjI1LCJ0ZW1wRmlsZURpciI6Ii90ZW1wL2FXWDE1Mzc3NDgvMjAyNi0wOS0xNi0wMy0wMS0xNS9lMjc0YzU0YS03ODFiLTQ5YmEtYmQ1OS00MjA0MjZiNmYzYmMiLCJmaWxlRGlyIjoiL2FwcC1tb2RlbC9Qcm9ibGVtTWFuYWdlbWVudEFjdGl2aXR5L3BtYV9wcm9ibGVtbWFuYWdlbWVudGFjdGl2aXR5L2V2aWRlbmNlX2JlZm9yZS9QTUEtMjAyNjA5MDgtMDAwMDAwMDEiLCJzdGF0ZSI6IkVYSVNUSU5HIiwiZmlsZUNoZWNrUnVsZSI6eyJtYXhGaWxlQ291bnQiOjUsIm1heEZpbGVTaXplIjo1MjQyODgwMDAsInBlcm1pc3Npb24iOiJDUlVEIn0sInVzZXJuYW1lIjoiYVdYMTUzNzc0OCIsInNoYXJlIjpmYWxzZX1AQEAzMDMwMzNkMTA3MjRhYTI0NGU4NDYyZjE2ZDI0OGU2NjI5NTFhNDM1MzdiMTVmNDA2MGJkYjBjM2NjMDZjMjlmZGU0MmU4, , , ProblemManagementActivity, user:j60132454, , BusinessStatusPendingforConfirmation, , group:BO CORE, Replace Patch Core, user:j60132454, , , , No, , , No, , user:j60132454, ProblemManagementActivity, normal, PMA-20260908-00000001, completed, , , , , , , PT-20260410-00000029, ProblemManagementActivity, PMA, BusinessProcess, Huawei, , Transmission, NO, NO, normal, , , , Link Degrade - SFP, , 0000199003e1291770-a9b8-37aa-4b2d-dfd2f80d7f4d, 2BGR_0015 TBG_SETAPAK_BOJONGGEDE|NE Is Disconnected*, Transport Physical Connection 32BGR_0015:TBG_SETAPAK_BOJONGGEDE, user:j60132454, user:j60132454, user:j60132454, , , Radio Access Network, 276bd7c1-1c56-11f1-a99d-0255ac12085f, ," Assign team persada onsite to check or replace PC at FWA, cause bad RSL at SFP FWA", ," 16:48 - Team Go to site with ETA: 17.30PM, PIC Anton17:30 - Team Prepare and open site. ETA: 17.4517:45 - Team checking. ETA 18.1518:15 - Team coordination and checking equipment. ETA 19.1519:15 - Confirm activity19.45 - Leave site"," 16:48 - Team Go to site with ETA: 17.30PM, PIC Anton17:30 - Team Prepare and open site. ETA: 17.4517:45 - Team checking. ETA 18.1518:15 - Team coordination and checking equipment. ETA 19.1519:15 - Confirm activity19.45 - Leave site", , , PMA-20260908-00000001, PMA-20260908-00000001, true,	 1788919568695, 2026-09-08 09:58:40, 2026-09-08 10:03:30, 32BGR_0015:TBG_SETAPAK_BOJONGGEDE, , user:j60132454, TBG_SETAPAK_BOJONGGEDE, Hardware fixing, 32BGR_0015, West Java
 , , , , , , 2026-09-09 07:59:27, , 2026-09-09 07:59:27, , , , , , 2026-09-09 07:59:27, 2026-09-09 07:59:27, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , user:1772678981310604761;group:1784779783371135970;group:1768618375291302943;group:1770883388300029229;user:1770781910299712897," 27_Improve RSL (Resplicing, Re OTDR)", user:uwx1496143, user:SURGE_hendrix;group:Surge_MS_NOC_DWDM_BO, Auto23, Prepare New Schedule, No, , , No, , user:uwx1496143, ProblemManagementActivity, normal, PMA-20260909-00000001, running, , , , , , , PT-20260902-00000001, ProblemManagementActivity, PMA, BusinessProcess, Triasmitra, , Transmission, NO, NO, normal, , , , , , 0000204692c9aacada-8256-e114-2f69-62d5180b9b08, [Link Degrade] DWDM Nokia segment Probolinggi Trias - Lumajang Trias , [Link Degrade] DWDM Nokia Segment Probolinggo Trias - Lumajang Trias, user:uwx1496143, , , , , , 543caa37-1878-11f1-b97b-0255ac120084, ," 1. Measure with OTDR, FD, SPL2. Look for:- Fiber bends- Splices- Connector contamination- Damaged cable sections3. Fixes:- Re-splice high-loss joints- Clean or replace connectors- Repair bent fiber sections- Clean connectors- Replace patch cords- Redo splicing4. Join visit with IJE if needed", , , , , , PMA-20260909-00000001, PMA-20260909-00000001, true,	 1788945808461, 2026-09-09 07:59:27, , Segment Probolinggo Trias - Lumajang Trias, , , Probolinggo Triasmitra, , PBL_0005, East Java
 , , , , , , 2026-09-09 08:25:46, 2026-09-09 08:56:12, 2026-09-09 08:56:12, , 2026-09-10 16:34:32, 2026-09-10 03:34:32, , 2026-09-10 16:34:32, 2026-09-09 08:25:47, 2026-09-09 08:25:47, 2026-09-09 08:36:13, 2026-09-09 08:39:21, 2026-09-09 08:39:22, , Accept, , , , , , , ProblemManagementActivity, , , BusinessStatusCancel, Other, group:Persada MS;user:3rd_persada_DanielElisy;group:HW NOC BO;group:HW NOC FO, 43_Repalce Patch Cord, user:jWX1520179, , , , No, , , No, , user:jWX1520179, ProblemManagementActivity, normal, PMA-20260909-00000002, cancel, , , , , , , PT-20260418-00000006, ProblemManagementActivity, PMA, BusinessProcess, Persada, , Transmission, NO, NO, normal, , , , Link Degrade - Patchcord, , 0000207972f6f2ee65-308b-a51a-ce54-c844b8db1288," Perbaikan Spanloss Gap Link DWDM Nokia Batu Mejan >< Tabanan (1 sisi, disisi Rx Batu Mejan)", [Patch cord] Persaada Spanloss Gap Link DWDM Nokia Batu Mejan >< Tabanan (on side Rx Batu Mejan) , user:jWX1520179, user:jWX1520179, , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, , Action to Conducting  by Persada.1. Cleaning PC (Bring Alkohol for cleaning action)2. Cleaning Barrell OTB side3. Cleaning SFP ((Bring Alkohol for cleaning action))4. Replace PC or SFP if needed (Broken/faulty)5. In Touch Coordination with NOC/FO when doiing rectify/replace action., , 1. Cleaning PC (Bring Alkohol for cleaning action)2. Cleaning Barrell OTB side3. Cleaning SFP 4. Replace PC or SFP if needed (Broken/faulty)5. In Touch Coordination with NOC/FO when doiing rectify/replace action., , , , PMA-20260909-00000002, PMA-20260909-00000002, true,	 1788944172876, 2026-09-09 08:25:47, 2026-09-09 08:36:12, Batu Mejan Nokia Batu Mejan >< Tabanan), , user:3rd_persada_DanielElisy, Batu Mejan IJE, Link improvement, TAB_0001, Bali
 , , , , , , 2026-09-09 09:11:25, , 2026-09-09 10:43:49, , 2026-09-10 16:59:59, 2026-09-09 18:00:00, , 2026-09-10 23:59:59, 2026-09-09 09:11:25, 2026-09-09 09:11:25, 2026-09-09 09:42:56, 2026-09-09 10:43:49, 2026-09-09 10:43:50, , Accept, , , , , , , ProblemManagementActivity, , , BusinessStatusImplementationInProgress, , group:Persada MS;user:3rd_persada_DanielElisy;group:HW NOC BO;group:HW NOC FO;group:Persada NOC, 43_Repalce Patch Cord, user:jWX1520179, group:HW NOC BO;group:Surge_MS_MPLS_BO;group:Surge_MS_NOC_BO;group:Surge_MS_NOC_MPLS_BO_Manager;group:Surge_MS_NOC_MPLS_BO;group:Surge_MS_NOC_DWDM_BO, TT12, Activity Execution, No, , , No, , user:jWX1520179, ProblemManagementActivity, normal, PMA-20260909-00000003, running, , , , , , , PT-20260418-00000006, ProblemManagementActivity, PMA, BusinessProcess, Persada, , Transmission, NO, NO, normal, , , , Link Degrade - Patchcord, , 000020312241685c28-b381-f077-3a33-28a72b2d9fda," Perbaikan Spanloss Gap Link DWDM Nokia Batu Mejan >< Tabanan (1 sisi, disisi Rx Batu Mejan)", [Patch cord] Persaada Spanloss Gap Link DWDM Nokia Batu Mejan >< Tabanan (on side Rx Batu Mejan) , user:jWX1520179, user:jWX1520179, , , , Transmission Network, 543caa37-1878-11f1-b97b-0255ac120084, , Action to Conducting  by Persada.1. Cleaning PC (Bring Alkohol for cleaning action)2. Cleaning Barrell OTB side3. Cleaning SFP ((Bring Alkohol for cleaning action))4. Replace PC or SFP if needed (Broken/faulty)5. In Touch Coordination with NOC/FO when doiing rectify/replace action., , Action to Conducting  by Persada.1. Cleaning PC (Bring Alkohol for cleaning action)2. Cleaning Barrell OTB side3. Cleaning SFP ((Bring Alkohol for cleaning action))4. Replace PC or SFP if needed (Broken/faulty)5. In Touch Coordination with NOC/FO when doiing rectify/replace action., , , , PMA-20260909-00000003, PMA-20260909-00000003, true,	 1788950631021, 2026-09-09 09:11:26, 2026-09-09 09:42:56, TAB_0001 batu Mejan (batu Mejan >< Tabanan), Next, user:3rd_persada_DanielElisy, Batu Mejan IJE, Link improvement, TAB_0001, Bali
 , , , , , , 2026-09-09 09:25:52, , 2026-09-09 09:25:52, , , , , , 2026-09-09 09:25:53, 2026-09-09 09:25:53, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:1770883388300029229;group:1784779783371135970;group:1768618375291302943;user:1772678981310604761," 27_Improve RSL (Resplicing, Re OTDR)", user:uwx1496143, user:SURGE_hendrix;group:HW NOC FO;group:HW NOC BO;group:Surge_MS_NOC_DWDM_BO, Auto23, Prepare New Schedule, No, , , No, , user:uwx1496143, ProblemManagementActivity, normal, PMA-20260909-00000004, running, , , , , , , PT-20260902-00000001, ProblemManagementActivity, PMA, BusinessProcess, Triasmitra, , Transmission, NO, NO, normal, , , , Link Degrade - Other, , 00002042242214dbff-79e5-0042-461c-0c05e68ccc23, [Link Degrade] DWDM Nokia segment Probolinggi Trias - Lumajang Trias , [Link Degrade 2] DWDM Nokia Segment Probolinggo Trias - Lumajang Trias, user:uwx1496143, , , , , , 543caa37-1878-11f1-b97b-0255ac120084, ," 1. Measure with OTDR, FD, SPL2. Look for:- Fiber bends- Splices- Connector contamination- Damaged cable sections3. Fixes:- Re-splice high-loss joints- Clean or replace connectors- Repair bent fiber sections- Clean connectors- Replace patch cords- Redo splicing4. Join visit with IJE if needed", , , , , , PMA-20260909-00000004, PMA-20260909-00000004, true,	 1788946096912, 2026-09-09 09:25:53, , Segment Probolinggo Trias - Lumajang Trias, Next, , Probolinggo Triasmitra, Link improvement, PBL_0005, East Java
 , , , , , , 2026-09-15 12:46:47, , 2026-09-15 12:46:47, , , , , , 2026-09-15 12:46:48, 2026-09-15 12:46:48, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:HW NOC FO;group:Telkom Akses MS," 27_Improve RSL (Resplicing, Re OTDR)", user:mWX1543840, group:HW NOC FO;group:Telkom Akses MS, Auto23, Prepare New Schedule, No, , , No, , user:mWX1543840, ProblemManagementActivity, normal, PMA-20260915-00000001, running, , , , , , , PT-20260626-00000026, ProblemManagementActivity, PMA, BusinessProcess, Mandau, , Transmission, NO, NO, normal, , , , Fiber Cut - 3rd Party(TP) - Join closure, , 00002396720d2bb5d3-aaf7-79ba-8a27-2353592b5fa2, [Link Degrade] DWDM Nokia Segment Pekalongan-Semarang Tawang, Perbaikan Degraded Segment Pekalongan <> Semarang Tawang , user:mWX1543840, , , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, ," Km 32.03, 42.06  hasil FD DWDM Nokia dari TX Pekalongan to Semarang", , , , , , PMA-20260915-00000001, PMA-20260915-00000001, true,	 1789476408983, 2026-09-15 12:46:48, , Pekalongan <> Semarang Tawang / Pekalongan, Next, , Pekalongan, Link improvement, PKL_0002, Central Java
 , , , , , , 2026-09-15 12:53:38, , 2026-09-15 12:53:38, , , , , , 2026-09-15 12:53:39, 2026-09-15 12:53:39, , , , , , , , , , , , ProblemManagementActivity, , , BusinessStatusWIP, , group:HW NOC FO;group:Telkom Akses MS," 28_Improve RSL (Resplicing, Re OTDR)", user:mWX1543840, group:HW NOC FO;group:Telkom Akses MS, Auto23, Prepare New Schedule, No, , , No, , user:mWX1543840, ProblemManagementActivity, normal, PMA-20260915-00000002, running, , , , , , , PT-20260710-00000012, ProblemManagementActivity, PMA, BusinessProcess, Telkom Akses, , Transmission, NO, NO, normal, , , , Fiber Cut - 3rd Party(TP) - Join closure, , 00002403504fd594d2-ad3a-ad51-2cb3-7038f95a29b5, [Link Degrade] DWDM Nokia Cibatu - Bandung, Perbaikan Degraded Segment Cibatu <> Bandung, user:mWX1543840, , , , , DWDM, 543caa37-1878-11f1-b97b-0255ac120084, ," Perbaikan Degraded KM 45,3 TX Bandung", , , , , , PMA-20260915-00000002, PMA-20260915-00000002, true,	 1789476819518, 2026-09-15 12:53:39, , Cibatu <> Bandung / Cibatu, Next, , Cibatu, 3rd Party fixing, GRT_0005, West Java
